Code,taux_locataire,taille_moy_menage,part_diplome_sup,part_appartement,taux_chomage,taux_urba,part_soixante_cinq_plus,taux_pauvrete,part_locataire_hlm,cadre,ouvrier,part_jeune
65,32.6,2.02,6.2,38.7,8.8,62.2,26.7,14.7,10.1,9.7,21.2,24.6
66,37.4,2.07,6.8,43,12.3,87.5,26,20.7,9.1,9.9,20.9,26.2
67,41.5,2.21,10.7,53.3,6.7,80,18.2,13.2,11.5,16.5,24.5,29.6
68,37.5,2.24,7.5,47.7,7.8,78.9,19.6,13,12.9,12.6,27.5,28.2
69,49.7,2.18,16.6,70.1,7.1,94.6,17,14.2,17.2,23.1,16.4,33.1
70,29.2,2.16,4.5,22.9,6.8,42.6,22.7,12.9,9.7,8.7,30.3,27.1
71,34.2,2.09,5.4,29.6,6.6,59.2,25.6,12.9,13.7,9.8,28.2,25.7
72,34.3,2.18,5.6,23.8,7.7,64.8,21.8,13.2,14,10.5,28.7,29.6
73,37,2.14,8.8,61.4,6.5,77.2,20.5,10.1,14.7,13.5,21.4,28.1
74,37.2,2.22,10.6,59.4,6.5,86.4,16.8,9.4,11.7,15,21.5,29.5
75,61.7,1.87,39.5,96.9,6.4,100,17,15,17.5,45.9,6.5,26.8
76,45.7,2.16,7.3,43.4,8.6,76.6,19.8,14.8,22.6,12.6,25.1,30.5
77,36.4,2.47,8.8,41.4,7.3,83.7,14.5,11.7,16.1,16.5,18.1,33.4
78,39.2,2.4,20.6,56.8,6.7,93,16.4,9.9,18.8,30.9,12.1,32.3
79,29.6,2.16,5.5,13.5,5.6,55.2,23.3,12.2,8.5,11.4,27.6,27.2
80,37.9,2.21,6.3,25.4,9.1,56.8,19.8,15.9,14.5,11.3,27.8,30.6
81,31,2.12,6.5,20.7,8,67.4,25.1,15.1,7,11.4,21.3,26.3
82,31.4,2.26,5.7,20.9,9.1,69.4,22.1,16.4,6.3,10.2,24.2,28.4
83,38.4,2.1,8,51.9,8.2,95.5,26,15.3,8.3,12.1,18,25.3
84,41.2,2.19,7.7,35,10.1,91,22.1,19.7,11.8,11.7,23.3,28.4
85,26.8,2.19,4.5,15.7,5.9,67.7,24.3,9.1,7.1,8.7,30.7,27.1
86,36.7,2.07,7.9,25,6.3,60.3,21.9,14.1,10.6,13.3,22.5,29.9
87,35.8,2,7.3,33.2,7,64.6,24.6,15.5,12.3,12.8,21.9,27.1
88,34,2.1,4.4,34.5,8.2,68.9,23.8,15.2,12.5,8.9,29.1,26.4
89,30.5,2.13,5,21.9,7.1,43.1,24.2,14.5,11.8,9.3,28.5,26.6
90,42.7,2.13,9.1,52.3,9,81.4,19.7,14.7,18.1,16.1,25.7,29.8
91,39.6,2.43,13.5,52.7,6.9,96.1,15.1,13.3,19.3,22,16.1,33.4
92,54.9,2.2,30.7,87.3,6.6,100,15.2,11.9,24.9,39.8,8.2,30.9
93,59.2,2.54,10.1,74.6,10.9,100,11.9,27.9,31.7,15,21.2,35.4
94,52.6,2.31,17.9,76.7,7.7,100,14.8,16.6,26.3,25.6,13.8,32.2
95,42.2,2.57,10.8,54.4,8.8,96,13.5,17,22.8,18.4,17.3,34.7
